"postal","FEA_ID","BUILDING_NAME","HOUSE_BLK_","Land_use","ROAD_NAME","X_ADDR","Y_ADDR","lat.js","lon.js","from","to","travel_time","weight","RD_CD","SHAPE_LEN","max_speed","from.x","from.y","to.y","to.x","node_idx"
689483,124639,"PHOENIX LRT STATION","40","Instituitional","CHOA CHU KANG ROAD",19621.69665,40066.2517,1.378617601,103.758033,"2165","2305",0.121512,50,"ZZZ38A",101.26,50,103.756,1.3774,1.37682,103.755,1129
828868,125152,"PUNGGOL MRT STATION","70","Instituitional","PUNGGOL CENTRAL",35682.97695,42989.078,1.405050765,103.9023562,"9982","802",0.103377,40,"GRR01X",68.9177,40,103.9,1.40454,1.4026,103.899,6089
828852,224259,"RIVIERA LRT STATION","40","Instituitional","PUNGGOL EAST",37219.07542,41823.1606,1.394506187,103.916159,"9287","5677",0.137857,50,"CHS06K",114.881,50,103.915,1.39229,1.39353,103.913,6522
828851,223963,"SAM KEE LRT STATION","10","Instituitional","SENTUL CRESCENT",35960.08802,43496.6493,1.409640978,103.9048464,"11156","11155",0.366054,50,"VIG00P",305.045,50,103.905,1.40727,1.40924,103.902,6158
658072,221699,"SCDF HQ 4TH CD DIVISION/BUKIT BATOK FIRE STATION","80","Instituitional","BUKIT BATOK ROAD",19029.87085,39440.8166,1.37296122,103.7527152,"5233","1828",0.0882951,50,"DAC00U",73.5793,50,103.748,1.36905,1.37112,103.751,1085
679940,124642,"SEGAR LRT STATION","50","Instituitional","BUKIT PANJANG RING ROAD",20908.71795,41078.4289,1.387771703,103.7695976,"7681","5990",0.200684,50,"BAL13M",167.237,50,103.768,1.38833,1.38748,103.765,1325
679942,124640,"SENJA LRT STATION","90","Instituitional","BUKIT PANJANG RING ROAD",20103.56041,40517.6736,1.38270023,103.7623628,"6260","14235",0.164431,50,"CAS08K",137.026,50,103.761,1.37967,1.3833,103.759,1253
719031,238521,"SINGAPORE EQUINE QUARANTINE STATION","219","Instituitional","NEO TIEW ROAD",16426.95413,46681.7522,1.438444618,103.7293233,"4211","2503",0.0634354,50,"CHV02N",52.8628,50,103.727,1.43689,1.43842,103.732,823
828864,223964,"SOO TECK LRT STATION","21","Instituitional","PUNGGOL WAY",35111.5146,42993.9206,1.405094707,103.8972211,"1678","2234",0.345015,60,"ENA00B",345.015,60,103.896,1.39992,1.40325,103.897,6017
688265,124635,"SOUTH VIEW LRT STATION","50","Instituitional","CHOA CHU KANG WAY",18203.96557,40251.5152,1.380292616,103.7452936,"1766","9970",0.0707087,50,"KEH03T",58.9239,50,103.743,1.38149,1.38383,103.743,893
828863,223959,"SUMANG LRT STATION","31","Instituitional","PUNGGOL WAY",35258.58667,43363.2529,1.408434776,103.8985428,"2234","9550",0.0698257,50,"ZZZ38A",58.1881,50,103.897,1.40325,1.40637,103.898,6103
828861,224001,"TECK LEE LRT STATION","101","Instituitional","PONGGOL SEVENTEENTH AVENUE",36154.19324,43844.7976,1.412789449,103.9065907,"4880","3107",0.187578,70,"BOW01D",218.841,70,103.909,1.41363,1.41027,103.909,6427
688267,124637,"TECK WHYE LRT STATION","10","Instituitional","CHOA CHU KANG WAY",19138.91626,39847.6621,1.376640615,103.753695,"10209","1961",0.0455411,50,"CAM01K",37.9509,50,103.754,1.37628,1.3775,103.751,1040
677899,124661,"TEN MILE JUNCTION LRT STATION","1","Instituitional","WOODLANDS ROAD",19854.92385,40257.7008,1.380349062,103.7601287,"6203","13930",0.3348,60,"BEA05R",334.8,60,103.759,1.37863,1.37781,103.757,1198
797699,225426,"THANGGAM LRT STATION","40","Instituitional","FERNVALE ROAD",32709.24041,42133.9225,1.397317689,103.8756346,"3354","4172",0.345031,84,"AYE00N",483.043,84,103.876,1.39499,1.39504,103.873,5043
638483,47858,"TUAS FIRE STATION","7","Instituitional","TUAS ROAD",8873.278325,33531.1383,1.319511582,103.661455,"4019","3093",0.423716,50,"DEP00N",353.097,50,103.66,1.3185,1.31652,103.658,193
738099,11749,"CAUSEWAY POINT","1","Instituitional","WOODLANDS SQUARE",22735.2727,46420.9612,1.436088011,103.7860096,"5182","11115",1.03797,40,"MAT17R",691.978,40,103.785,1.43742,1.4378,103.783,1732
609732,211314,"JURONG REGIONAL LIBRARY","21","Instituitional","JURONG EAST CENTRAL 1",17567.14808,34965.5648,1.332488207,103.7395732,"9381","373",0.0770429,60,"THO00S",77.0429,60,103.738,1.33331,1.33562,103.735,838
619707,127918,"JURONG STADIUM","10","Instituitional","FOURTH CHIN BEE ROAD",15265.37062,35040.0783,1.3331612,103.7188904,"8349","954",0.0787247,50,"DUK01H",65.6039,50,103.717,1.33034,1.33362,103.716,688
629152,172182,"JURONG TELEPHONE EXCHANGE","384","Instituitional","JALAN AHMAD IBRAHIM",14393.50558,33861.4585,1.322501825,103.7110568,"5207","3910",0.0482912,40,"ETT00Q",32.1941,40,103.71,1.3242,1.32373,103.706,565
628507,180735,"JURONG WATER RECLAMATION PLANT","20","Instituitional","PIONEER ROAD",11428.41037,32941.3507,1.314179259,103.6844144,"9178","10125",0.0844948,50,"BEG01K",70.4124,50,103.684,1.31182,1.31078,103.682,341
649112,164,"JURONG WEST TELEPHONE EXCHANGE","2","Instituitional","JURONG WEST STREET 75",13415.83872,36532.9652,1.34666147,103.7022707,"4125","3014",0.230096,60,"RIV01W",230.096,60,103.699,1.34622,1.34691,103.7,507
729154,154960,"SUNGEI KADUT FIRE POST","8","Instituitional","SUNGEI KADUT STREET 3",18569.36288,44319.551,1.417082549,103.7485757,"479","791",0.119234,50,"TOC02T",99.362,50,103.744,1.41579,1.41645,103.746,1043
609773,143156,"TAS TELEPHONE EXCHANGE","31","Instituitional","JURONG EAST AVENUE 1",17073.28673,36196.8208,1.343623059,103.7351351,"4085","8176",0.228908,50,"PAL07A",190.756,50,103.735,1.34106,1.34335,103.732,806
709314,116459,"TAS TELEPHONE EXCHANGE","2","Instituitional","LORONG TUKOL",13344.85933,41929.3178,1.395463991,103.7016302,"10931","10027",0.36172,50,"TUS01U",301.433,50,103.7,1.39753,1.39353,103.699,484
648345,228357,"NEW BOON LAY TEMPORARY BUS INTERCHANGE","10","Instituitional","JURONG WEST STREET 64",13891.05866,35627.4341,1.338472416,103.7065412,"8124","5567",0.0637279,50,"ZZZ38A",53.1066,50,103.704,1.33832,1.34106,103.704,541
609434,22456,"THE JTC SUMMIT","8","Instituitional","JURONG TOWN HALL ROAD",17822.43809,34828.0357,1.331244531,103.7418672,"373","1104",0.259232,40,"CLV00C",172.821,40,103.74,1.33155,1.33331,103.738,850
575701,63988,"VEHICLE & TRANSIT LICENSING DIVISION","10","Instituitional","SIN MING DRIVE",28388.76238,37628.4405,1.356572102,103.8368115,"9562","15410",0.380193,65,"AHI00U",411.876,65,103.836,1.35621,1.35744,103.834,3296
738203,24723,"WOODLANDS CHECKPOINT","21","Instituitional","WOODLANDS CROSSING",20876.92471,47382.8706,1.444786756,103.7693104,"9205","15257",0.149227,50,"EUA07Q",124.355,50,103.768,1.44044,1.44337,103.77,7887
738692,138707,"WOODLANDS TELEPHONE EXCHANGE","1118","Instituitional","WOODLANDS ROAD",20127.28191,45973.213,1.432038132,103.7625745,"671","2194",0.101979,40,"JAA00Y",67.986,40,103.763,1.4348,1.43011,103.762,1311
738103,154998,"WOODLANDS TRAIN CHECKPOINT","11","Instituitional","WOODLANDS CROSSING",20905.616,47365.4052,1.444628813,103.7695682,"9205","15257",0.149227,50,"EUA07Q",124.355,50,103.768,1.44044,1.44337,103.77,7887
59282,43975,"KRETA AYER NEIGHBOURHOOD POLICE POST","32","Institutional","NORTH CANAL ROAD",29535.4108,29885.2353,1.286545257,103.8471145,"25","11187",0.202356,50,"HAS10R",168.63,50,103.845,1.28597,1.28688,103.844,3738
78872,248853,"MARINA BAY NEIGHBOURHOOD POLICE CENTRE","1","Institutional","PRINCE EDWARD LINK",29825.0975,28552.4664,1.274492147,103.8497174,"11086","16129",0.189463,60,"VIS00Q",189.463,60,103.852,1.27342,1.27268,103.846,3854
88762,42149,"POLICE CANTONMENT COMPLEX","391","Institutional","NEW BRIDGE ROAD",28678.6145,28994.5869,1.278490575,103.8394159,"2292","3166",0.141178,40,"ISM00G",94.1189,40,103.836,1.27728,1.27746,103.838,3518
117605,28592,"DSO NATIONAL LABORATORIES (MARINA HILL)","11","Institutional","STOCKPORT ROAD",22893.8769,29973.0088,1.287338671,103.7874377,"7861","4633",0.226746,50,"GEL02Q",188.955,50,103.785,1.2868,1.28761,103.784,1764
118176,65626,"NATIONAL COMMUNITY LEADERSHIP INSTITUTE","70","Institutional","SOUTH BUONA VISTA ROAD",22989.134,29626.7599,1.284207334,103.7882936,"2727","10862",0.126348,50,"SOM02G",105.29,50,103.787,1.2851,1.28712,103.786,1775
118505,70916,"MOE LABRADOR ADVENTURE CENTRE","45","Institutional","PASIR PANJANG ROAD",23918.8109,28381.2223,1.272943265,103.7966473,"1333","7980",0.142205,50,"ZZZ38A",118.504,50,103.795,1.2752,1.27479,103.796,2111
118815,51143,"PASIR PANJANG NEIGHBOURHOOD POLICE POST","109A","Institutional","PASIR PANJANG ROAD",23551.9859,28659.7099,1.27546176,103.7933512,"2368","9400",0.115288,50,"ORC00F",96.073,50,103.79,1.27705,1.2767,103.791,1975
127157,67313,"WEST COAST RECREATION CENTRE","12","Institutional","WEST COAST WALK",20268.0971,32429.7439,1.309555966,103.7638434,"7660","14581",0.218578,50,"ANS08K",182.148,50,103.766,1.30845,1.3119,103.763,1307
129605,76276,"WEST COAST COMMUNITY CENTRE","2","Institutional","CLEMENTI WEST STREET 2",20395.0071,31683.2047,1.302804565,103.7649839,"8703","134",0.0658366,40,"SEC04A",43.8911,40,103.764,1.30207,1.30445,103.762,1299
129858,142674,"CLEMENTI POLICE DIVISIONAL HQ","20","Institutional","CLEMENTI AVENUE 5",20545.2255,33269.7711,1.317152938,103.7663333,"926","7567",0.335662,50,"OUP00F",279.718,50,103.765,1.31607,1.3189,103.763,1309
149732,104851,"QUEENSTOWN COMMUNITY CENTRE","365","Institutional","COMMONWEALTH AVENUE",24422.4156,31275.5739,1.299118822,103.8011721,"1042","11635",0.390296,40,"MAY02D",260.197,40,103.801,1.3002,1.29801,103.8,2211
169078,33314,"HEALTH SCIENCES AUTHORITY BUILDING","11","Institutional","OUTRAM ROAD",28574.893,29207.7233,1.280418108,103.8384839,"6035","9783",0.210748,60,"WOA01D",210.748,60,103.836,1.28311,1.2817,103.838,3567
169565,134884,"SINGAPORE EXAMINATIONS AND ASSESSMENT BOARD","298","Institutional","JALAN BUKIT HO SWEE",27666.5638,29987.7705,1.287472585,103.8303222,"1578","3560",0.301094,60,"PAD07X",301.094,60,103.828,1.2866,1.28767,103.827,3059
169981,94252,"NEIGHBOURHOOD POLICE POST","5","Institutional","BEO CRESCENT",27427.8384,30135.9138,1.288812337,103.8281771,"3369","6767",0.0439202,50,"SAL01K",36.6001,50,103.826,1.28812,1.28635,103.825,2926
179868,19391,"NATIONAL ARCHIVES OF SINGAPORE","1","Institutional","CANNING RISE",29668.702,30600.709,1.293015743,103.8483122,"4573","11405",0.241114,60,"SUD04X",241.114,60,103.845,1.29241,1.29168,103.846,8736
187949,23676,"ELECTIONS DEPARTMENT","11","Institutional","PRINSEP LINK",29887.6176,31385.65,1.30011446,103.8502793,"4297","15252",0.111784,50,"MAR19A",93.153,50,103.849,1.30198,1.30307,103.847,3929
199596,5553,"KAMPONG GLAM NEIGHBOURHOOD POLICE POST","17A","Institutional","BEACH ROAD",31351.6201,31810.5815,1.303957267,103.8634341,"9443","5758",0.375238,50,"JUS25R",312.699,50,103.861,1.30417,1.30501,103.86,4553
208678,21782,"ROCHOR NEIGHBOURHOOD POLICE CENTRE","11","Institutional","KAMPONG KAPOR ROAD",30329.8733,32220.0723,1.307660651,103.8542533,"1108","9997",0.09642,50,"ZZZ38A",80.35,50,103.852,1.30716,1.30692,103.851,4145
219428,252566,"BLK 1 (LAND TRANSPORT AUTHORITY)","1","Institutional","HAMPSHIRE ROAD",29779.8407,32275.4492,1.308161497,103.849311,"6063","1112",0.324295,50,"ANP05X",270.245,50,103.849,1.30527,1.3069,103.847,3910
219429,252562,"BLK 10 (LAND TRANSPORT AUTHORITY)","10","Institutional","HAMPSHIRE ROAD",29682.1049,32412.3809,1.309399864,103.8484328,"6802","6800",0.142254,50,"ORC00F",118.545,50,103.844,1.31054,1.30991,103.846,4117
228892,133393,"TANGLIN POLICE DIVISIONAL HEADQUARTERS","21","Institutional","KAMPONG JAVA ROAD",29415.5579,32683.5229,1.31185199,103.8460377,"8833","15116",0.127191,63.3333,"UPT22B",134.257,63.3333,103.844,1.31062,1.30851,103.842,3674
238165,132923,"NATIONAL YOUTH CENTRE","113","Institutional","SOMERSET ROAD",28399.0131,31426.6863,1.300485633,103.8369036,"5052","7492",0.367262,76.6667,"ZZZ90A",469.28,76.6667,103.836,1.30283,1.30365,103.834,3225
239572,18351,"ORCHARD NEIGHBOURHOOD POLICE CENTRE","51","Institutional","KILLINEY ROAD",28719.8474,31261.5004,1.298991744,103.8397864,"4026","3340",0.346004,50,"TAD01R",288.337,50,103.84,1.30005,1.30089,103.837,3379
259569,24172,"NATIONAL PARKS BOARD HEADQUARTERS","1","Institutional","CLUNY ROAD",26088.3892,33108.2957,1.315693458,103.8161415,"7358","14442",0.176289,40,"SAR03T",117.526,40,103.814,1.31616,1.31601,103.813,2584
268914,4455,"BUKIT TIMAH NEIGHBOURHOOD POLICE CENTRE","1","Institutional","DUKE'S ROAD",25670.0348,33867.9841,1.322563782,103.8123823,"3635","6958",0.354516,60,"BER00B",354.516,60,103.81,1.322,1.32243,103.809,2484
279622,35848,"MINISTRY OF EDUCATION LANGUAGE CENTRE (GHIM MOH)","285","Institutional","GHIM MOH ROAD",22831.536,32600.8948,1.31110433,103.7868771,"3009","12487",0.217974,50,"HAS01R",181.645,50,103.783,1.3087,1.31052,103.785,8002
297830,42871,"WHITLEY NEIGHBOURHOOD POLICE POST","247","Institutional","WHITLEY ROAD",27242.6293,33906.1416,1.322908945,103.8265129,"1178","11391",0.146548,50,"FRA00Q",122.123,50,103.825,1.32235,1.32281,103.823,2851
298333,249482,"THOMSON POLICE COMPLEX","1","Institutional","MOUNT PLEASANT ROAD",28552.4975,34524.1502,1.328498,103.8382827,"4531","1328",0.305578,40,"NER00W",203.719,40,103.835,1.32598,1.32658,103.837,3429
308205,121112,"NATIONAL SKIN CENTRE","1","Institutional","MANDALAY ROAD",29795.0817,33543.1531,1.319626162,103.849448,"4310","10327",0.190203,50,"PAR09C",158.502,50,103.849,1.31753,1.3159,103.847,3847
319513,54500,"POLICE SECURITY COMMAND","2","Institutional","LORONG 4 TOA PAYOH",29828.3885,35793.7316,1.339979594,103.8497474,"746","11509",0.191631,50,"WOD07M",159.692,50,103.849,1.34081,1.3424,103.848,3988
338988,130668,"SINGAPORE POLICE FORCE","11","Institutional","KAMPONG BUGIS",31660.6067,32253.6866,1.307964518,103.8662105,"10565","10389",0.390684,70,"TUA29M",455.798,70,103.865,1.30616,1.30476,103.863,4600
397732,81436,"NATIONAL CADET CORPS KALLANG","5","Institutional","STADIUM ROAD",32061.4493,32011.7419,1.305776406,103.8698123,"5620","259",0.371422,50,"HOS09R",309.518,50,103.867,1.30333,1.30481,103.869,4949
408865,62321,"TRAFFIC POLICE HEADQUARTERS","10","Institutional","UBI AVENUE 3",34391.5718,34670.2833,1.329818909,103.8907501,"7623","1585",0.418481,70,"MAN05G",488.228,70,103.89,1.33026,1.33255,103.889,5696
409014,37776,"GEYLANG NEIGHBOURHOOD POLICE CENTRE","132","Institutional","PAYA LEBAR ROAD",34418.9918,34283.5207,1.326321161,103.8909964,"4925","7381",0.0456479,50,"ELA00N",38.0399,50,103.889,1.32706,1.32667,103.888,5618
424008,63984,"POLICE LOGISTICS DEPARTMENT (STILL ROAD BASE)","170","Institutional","STILL ROAD",36062.7971,33232.2123,1.316813117,103.9057666,"9513","3654",0.341539,60,"SUA02Y",341.539,60,103.905,1.31924,1.31871,103.902,6139
424773,18359,"JOO CHIAT NEIGHBOURHOOD POLICE POST","267","Institutional","ONAN ROAD",35588.1756,32468.7694,1.309908935,103.9015017,"1103","5235",0.144281,40,"MAA02W",96.1875,40,103.899,1.31031,1.31015,103.898,6018
438675,74060,"POLICE 
LOGISTICS 
DEPARTMENT (POLICE LOGISTICS BASE)","1","Institutional","HEMMANT ROAD",34473.0512,32679.6214,1.311816059,103.8914818,"4934","10623",0.129165,50,"ZZZ38A",107.638,50,103.889,1.31181,1.31169,103.888,5628
449296,132270,"MARINE PARADE NEIGHBOURHOOR POLICE CENTRE","300","Institutional","MARINE PARADE ROAD",37033.7693,32052.6045,1.3061449,103.9144909,"5308","7994",0.253396,50,"SEA23T",211.163,50,103.912,1.30601,1.30555,103.91,6409
455246,28804,"SIGLAP NEIGHBOURHOOD POLICE POST","125","Institutional","UPPER EAST COAST ROAD",38743.0364,32906.2611,1.313864512,103.9298497,"10383","15775",0.172486,60,"MAP07X",172.486,60,103.929,1.31579,1.31569,103.928,6831
468963,105907,"NATIONAL SAILING CENTRE","1500","Institutional","EAST COAST PARKWAY",42193.5672,32993.5867,1.314652853,103.9608545,"10164","7331",0.356446,50,"GUW00Q",297.038,50,103.956,1.31386,1.31522,103.959,7287
469676,49324,"BEDOK POLICE DIVISIONAL HEADQUARTER","30","Institutional","BEDOK NORTH ROAD",39554.7873,34983.8169,1.332652867,103.9371445,"7704","12000",0.43914,40,"BUM04T",292.76,40,103.938,1.33193,1.33151,103.934,6886
506966,154777,"CHANGI PRISON COMPLEX (LAUNDRY BOILER)","992","Institutional","UPPER CHANGI ROAD NORTH",43333.8701,38023.4533,1.360140503,103.9711032,"5375","10458",0.086159,40,"MAK00H",57.4393,40,103.969,1.35916,1.3604,103.968,7353
506967,225722,"CHANGI PRISON COMPLEX (CLUSTER A)","994","Institutional","UPPER CHANGI ROAD NORTH",43490.6005,37981.1313,1.359757677,103.9725115,"3616","14082",0.088093,50,"SIA15S",73.4108,50,103.97,1.35892,1.35673,103.969,7387
506969,250335,"CHANGI PRISON COMPLEX","984","Institutional","UPPER CHANGI ROAD NORTH",43356.4079,37852.6094,1.358595444,103.9713056,"5375","10458",0.086159,40,"MAK00H",57.4393,40,103.969,1.35916,1.3604,103.968,7353
507695,289,"CPG AIRPORT DEVELOPMENT DIVISION","1800","Institutional","UPPER CHANGI ROAD NORTH",44136.454,38790.9646,1.367081154,103.9783153,"4548","3953",0.289182,50,"SID04Q",240.985,50,103.976,1.36637,1.36632,103.975,7420
507709,231039,"CHANGI PRISON COMPLEX (CLUSTER A)","982","Institutional","UPPER CHANGI ROAD NORTH",43359.3625,37790.4442,1.358033244,103.9713321,"5375","10458",0.086159,40,"MAK00H",57.4393,40,103.969,1.35916,1.3604,103.968,7353
508773,153671,"POLICE COAST GUARD LOYANG REGIONAL BASE","91","Institutional","LOYANG WAY",43369.2905,40840.7191,1.385618755,103.9714229,"5067","14371",0.183343,50,"SIA16G",152.786,50,103.971,1.38394,1.38448,103.97,7393
521866,25414,"TAMPINES CENTRAL COMMUNITY COMPLEX","866A","Institutional","TAMPINES STREET 83",39252.4771,37498.2291,1.355392396,103.934429,"669","12867",0.259434,85,"SEE04Z",367.532,85,103.931,1.3535,1.35513,103.932,9727
529682,118966,"TAMPINES NEIGHBOURHOOD POLICE CENTRE","6","Institutional","TAMPINES AVENUE 4",39726.3701,36488.0051,1.346256122,103.9386869,"7682","956",0.0752032,40,"TUK00C",50.1355,40,103.938,1.34476,1.34626,103.934,6849
529914,67584,"CHANGI NEIGHBOURHOOD POLICE CENTRE","9","Institutional","SIMEI STREET 2",41519.8599,36296.78,1.344526,103.9548023,"10121","13666",0.0767526,40,"GEN03W",51.1684,40,103.954,1.34553,1.34286,103.951,7135
536202,132402,"MORNINGSTAR CENTRE","12","Institutional","NEW INDUSTRIAL ROAD",33811.4123,36078.1485,1.342551254,103.8855373,"2334","6483",0.313394,50,"TOC00J",261.162,50,103.885,1.33989,1.34026,103.884,5496
555947,111339,"SERANGOON GARDENS NEIGHBOURHOOD POLICE POST","51","Institutional","SERANGOON GARDEN WAY",31684.0069,38386.9403,1.363431478,103.8664216,"336","8082",0.103047,40,"HUA00Y",68.6979,40,103.865,1.36557,1.3682,103.863,4701
569784,211950,"ANG MO KIO POLICE DIVISIONAL HEADQUARTERS","51","Institutional","ANG MO KIO AVENUE 9",29310.6021,40805.6417,1.385305548,103.845095,"2384","14422",0.145358,50,"TAR07N",121.132,50,103.843,1.38398,1.38774,103.842,3632
569929,120809,"ANG MO KIO SOUTH NEIGHBOURHOOD POLICE CENTRE","81","Institutional","ANG MO KIO AVENUE 3",30042.9706,39103.4451,1.36991145,103.8516758,"5448","2099",0.155895,50,"EUA02N",129.912,50,103.85,1.36903,1.36909,103.845,3775
579757,58881,"BISHAN NEIGHBOURHOOD POLICE CENTRE","20","Institutional","BISHAN STREET 23",29602.1841,37764.3731,1.357801388,103.8477149,"558","7231",0.14854,50,"RAN02Q",123.783,50,103.845,1.35755,1.35661,103.846,3902
579782,72684,"MINISTRY OF EDUCATION LANGUAGE CENTRE (BISHAN)","11","Institutional","BISHAN STREET 14",30113.4599,37249.3472,1.353143645,103.852309,"4862","8101",0.150935,50,"OLT01X",125.779,50,103.848,1.35364,1.35333,103.85,4142
589333,413,"NATIONAL PARKS BOARD VISITOR CENTRE","177","Institutional","HINDHEDE DRIVE",21692.6851,36744.8019,1.348580127,103.7766431,"3237","12589",0.325554,50,"BEP02R",271.295,50,103.776,1.34743,1.34582,103.776,1621
