200
200
10307, 7098
8705, 6814
14356, 4379
5650, 761
6129, 9626
4705, 7893
5093, 1878
7144, 8337
6370, 5486
1456, 14519
571, 5853
8429, 7613
15690, 4903
7227, 938
11198, 10606
14122, 15279
150, 8822
10795, 2119
4814, 5017
11554, 5246
6496, 14842
9662, 4515
7145, 10365
148, 14333
5531, 6766
4279, 1397
15026, 12657
2608, 10190
236, 956
3298, 15452
12262, 9938
11552, 1132
11907, 8691
11657, 9705
13938, 11957
8875, 5179
3222, 8899
3846, 4369
8454, 8886
7409, 7349
10889, 9179
15706, 14056
6019, 16020
10923, 6549
10065, 3075
5834, 537
8368, 2302
15185, 6025
7169, 13249
6978, 5107
15340, 8131
3223, 1289
2088, 233
4104, 14836
12442, 2187
2123, 8975
7880, 8786
15286, 7858
9062, 2759
11751, 7112
11256, 12549
10417, 4509
8787, 3021
1840, 1880
2151, 2640
7099, 5531
15687, 11902
14303, 2219
5350, 11195
13570, 6932
269, 4712
13197, 685
14018, 12498
13453, 9761
1350, 6286
2607, 781
6759, 6202
6314, 7284
15477, 9690
8816, 169
9945, 7886
6204, 6948
15094, 7295
594, 14829
7246, 261
3879, 12663
10106, 9365
1523, 7143
3447, 4228
4341, 568
4052, 6831
14975, 15479
3895, 8938
10896, 12738
9944, 12651
1197, 14586
14440, 9051
9450, 6986
2649, 9129
16175, 615
1115, 6556
1612, 3340
8820, 801
4716, 2431
4745, 15782
2903, 994
4594, 10971
12073, 7789
4740, 3368
1466, 999
739, 10549
6009, 970
450, 14423
1501, 15936
10350, 4200
9982, 11601
6088, 7643
502, 2899
9698, 10555
6714, 13014
6651, 10048
8770, 675
539, 11398
13205, 12587
12329, 6232
10773, 5263
8133, 10979
1432, 14551
8960, 11047
834, 9868
10729, 1539
15247, 10156
12596, 12075
4525, 570
8717, 11240
4997, 15356
2853, 2002
10351, 12689
6288, 1471
4401, 7409
1257, 4202
736, 6572
14418, 2012
10505, 10797
9978, 9831
11238, 7782
14372, 5194
8560, 14340
12049, 11053
1379, 3655
6063, 8185
4741, 4343
14196, 10887
5251, 11433
15951, 9685
8821, 9984
7104, 1833
986, 9050
15907, 5005
10319, 11821
2120, 2665
3958, 13161
2390, 843
4199, 10659
5644, 15637
13560, 2951
3251, 11011
9292, 3073
8672, 7169
3455, 241
3393, 4110
5818, 10800
10080, 1120
10268, 9403
13657, 13280
11990, 13159
4066, 11772
10025, 8730
9711, 10638
3231, 6132
13981, 5895
6353, 10789
6066, 4723
14590, 10728
9487, 2853
6174, 12905
3858, 4011
5517, 3698
14554, 9009
1593, 7689
11053, 5806
12567, 345
2406, 14557
8863, 14467
8060, 14769
6756, 9611
4029, 14724
9433, 8327
2326, 9973
6833, 7186
7305
1887
3832
10515
16019
11142
416
159
5900
10304
12027
11656
15035
3069
10737
2911
9480
7522
11658
1883
7699
3460
985
4603
1457
15761
4842
4378
8914
8876
10233
2705
6242
7595
3814
2820
11840
12450
1069
6385
1633
707
3684
4212
8997
1798
9742
2614
7822
3129
9816
5457
670
4161
3966
7924
634
15886
1200
5380
12263
2524
8243
1550
1482
5319
13875
809
8804
7695
6131
876
13664
451
1037
10543
12731
243
9554
9309
7891
5556
8401
11466
1189
74
11546
2008
5400
2882
3092
7360
7861
10581
11931
2001
14999
6225
1629
745
852
3420
9899
8506
7475
13975
11663
13262
10267
3403
3947
1010
11031
3277
3856
4070
11410
11243
15196
5614
1425
4255
6533
15395
11537
3981
183
3249
12366
15064
901
12506
2381
6230
8141
9326
1221
5868
3679
7542
3030
13813
4765
4405
6638
5891
2335
2086
14646
12878
15209
8501
1728
7292
9291
7365
9949
5025
16066
12916
14120
8854
3699
6668
5685
14429
9167
4925
11531
7181
10221
8864
4309
7513
3625
5849
10787
4286
11827
10683
2560
4137
15556
16112
283
5242
8423
6010
608
1386
7982
896
14594
15207
11291
8147
6402
11880
278
10126
