1,Taxi,NA,7571
1,Trans,NA,7682
1,Trans,NA,7680
1,Trans,NA,7760
1,Trans,NA,7810
1,Trans,NA,7873
1,Trans,NA,7887
1,Trans,NA,7769
1,Trans,NA,7722
1,Trans,NA,7723
1,Trans,NA,7634
1,Trans,NA,7552
1,Trans,NA,7465
1,Trans,NA,7443
1,Trans,NA,7388
1,Trans,NA,7389
1,Trans,NA,7339
1,Trans,NA,7338
1,Trans,NA,7291
1,Trans,NA,7292
1,Trans,NA,7374
1,Trans,NA,7375
1,Trans,NA,7254
1,Trans,NA,7198
1,Trans,NA,7270
1,Trans,NA,7194
1,Trans,NA,7196
1,Trans,NA,7163
1,Trans,NA,7090
1,Trans,NA,6997
1,Trans,NA,6956
1,Trans,NA,6996
1,Trans,NA,6995
1,Trans,NA,7014
1,Trans,NA,7039
1,Trans,NA,7080
1,Trans,NA,7077
1,Trans,NA,7125
1,Trans,NA,7191
1,Trans,NA,7232
1,Trans,NA,7231
1,Trans,NA,6979
1,Trans,NA,6980
1,Trans,NA,6704
1,Trans,NA,6703
1,Trans,NA,6599
1,Trans,NA,6427
1,Trans,NA,6426
1,Trans,NA,6222
1,Trans,NA,6223
1,Trans,NA,6122
1,Trans,NA,6093
1,Trans,NA,6032
1,Trans,NA,5963
1,Trans,NA,5915
1,Trans,NA,5917
1,Trans,NA,5886
1,Trans,NA,5843
1,Trans,NA,5781
1,Trans,NA,5782
1,Trans,NA,5727
1,Trans,NA,5698
1,Trans,NA,5628
1,Trans,NA,5585
1,Trans,NA,5559
1,Trans,NA,5651
1,Trans,NA,5634
1,Start,24,5634
1,Trans,NA,5632
1,Trans,NA,5717
1,Trans,NA,5644
1,Trans,NA,5643
1,Trans,NA,5536
1,Trans,NA,5499
1,Trans,NA,5427
1,Trans,NA,5426
1,Trans,NA,5350
1,Trans,NA,5392
1,Trans,NA,5391
1,Trans,NA,5316
1,Trans,NA,5148
1,Trans,NA,4844
1,Trans,NA,4730
1,Trans,NA,4704
1,Trans,NA,4322
1,Trans,NA,4323
1,Trans,NA,4185
1,Trans,NA,4070
1,Trans,NA,3960
1,Trans,NA,3821
1,Trans,NA,3378
1,Trans,NA,3379
1,Trans,NA,3216
1,Trans,NA,3146
1,Trans,NA,2974
1,Trans,NA,2943
1,Trans,NA,2942
1,Trans,NA,2637
1,Trans,NA,2636
1,Trans,NA,2561
1,Trans,NA,2481
1,Trans,NA,2049
1,Trans,NA,2143
1,Trans,NA,2145
1,Trans,NA,2177
1,Trans,NA,2278
1,Trans,NA,2277
1,Trans,NA,2252
1,Trans,NA,2256
1,Trans,NA,2311
