8394
1682
840
5866
7971
8156
7780
5564
4684
3551
5994
8059
1717
3358
8893
8089
8552
9844
3635
328
9725
2270
7950
4072
3020
1814
2141
9488
8571
5345
3435
7559
1183
4664
3381
1642
3941
7802
509
8141
843
162
3369
6664
7654
8200
8325
4755
8907
4286
5259, 2865, 39
8544, 3023, 4
1744, 8304, 39
8778, 6100, 2
2873, 9020, 39
6946, 7667, 19
7107, 4192, 28
6734, 5981, 8
5128, 1056, 37
54, 8969, 13
1523, 8348, 38
7103, 3395, 27
4919, 7479, 1
8732, 329, 47
6968, 8279, 26
5417, 6224, 42
6919, 4184, 25
6019, 6426, 17
7532, 1858, 48
8598, 1529, 54
5116, 1088, 47
4033, 4748, 2
4292, 2660, 33
2684, 7273, 2
6778, 6345, 35
3318, 2163, 32
8020, 8064, 41
1781, 8768, 37
1441, 6635, 42
4741, 4169, 47
8973, 7656, 32
9056, 1308, 32
8641, 3450, 48
8145, 7238, 7
5905, 2241, 26
155, 8811, 34
8763, 6537, 56
2683, 5205, 7
755, 8668, 35
4306, 3323, 33
8051, 3789, 43
7201, 4989, 53
547, 5820, 47
5603, 6555, 39
4889, 810, 58
5521, 3131, 31
5210, 2198, 38
7031, 2039, 54
5537, 743, 31
7691, 8093, 56
5490, 6661, 11
6151, 9898, 55
5864, 9144, 51
7853, 7379, 33
6794, 2447, 26
8737, 5723, 24
5141, 9618, 46
6431, 6999, 6
6011, 9291, 31
5390, 982, 30
